primary,id,Lit_title,page,authors_all_count,publication_type,publisher,abstract_structured,cst,csc,sjr,snip,Citation_count,Social_count,Mention_count,Capture_count,Usage_count,KW_hit_in_kw,KW_hit_in_title,KW_hit_in_abstract,KW_hit_in_all
,48,Innovative diagnostic tools for early detection of Alzheimer's disease,1,0,1,1,0,0.867,1,0.765,0.6356,0.2235,0.0638,0.1905,0.2448,0.0852,0.0645,,6.0754,0
,51,Individual variation in resisting temptation: Implications for addiction,1,0,1,1,0,0.6024,0.7402,0.5241,0.4356,0.2032,1,0.0952,0.1437,0.0999,0.3226,,5.8443,0
,97,Olfactory receptor subgenomes linked with broad ecological adaptations in sauropsida,1,0.0003,1,1,0,1,0.993,1,0.395,0.0609,0.1489,0.0476,0.0337,0.0018,0.2258,,5.6812,0
,102,Effective regression test case selection: A systematic literature review,1,0,1,1,0,0.8803,0.9808,0.211,1,0.0542,0,0,0.0475,0.0228,0,,5.1966,0
,32,The evolution and psychology of self-deception,1,0,1,1,0,0.0492,0.0796,0.1011,0.6623,0.5621,0.5106,0.1429,1,0.0039,0.7742,,5.1117,0
,150,Protein- and Peptide-Based Biosensors in Artificial Olfaction,1,0,1,1,0,0.7048,0.888,0.4888,0.5007,0.0271,0.1915,0,0.0375,0.0049,0.2903,,4.8433,0
,110,Evolving estimators of the pointwise Holder exponent with Genetic Programming,1,0,1,1,0.5,0.4914,0.6037,0.2274,0.5018,0.0474,0,0,0.0225,0.4173,0,,4.8115,0
,33,A survey on software fault localization,1,0.0001,1,1,0,0.49,0.5932,0.1028,0.7468,0.474,0,0,0.3879,0.0001,0,,4.7949,0
,116,The impact of tangled code changes on defect prediction models,1,1,1,1,0,0.3424,0.4908,0.087,0.5136,0.0429,0.0638,0,0.0375,0.0005,0.0968,,4.5785,0
,129,An expert system for determining candidate software classes for refactoring,1,0,1,1,0,0.514,0.5564,0.167,0.5132,0.0384,0,0,0.03,0.1838,0,,4.479,0.4762
,60,Short-term forecasting of high-speed rail demand: A hybrid approach combining ensemble empirical mode decomposition and gray support vector machine with real-world applications in China,1,0.0002,1,1,0,0.5831,0.6553,0.3665,0.566,0.1422,0,0,0.0512,0.017,0,,4.4767,0.0952
,143,A comparison of code similarity analysers,1,0.0001,1,1,0,0.3424,0.4908,0.087,0.5136,0.0293,0.9362,0,0.0487,0.0015,0.5806,,4.4496,0
,84,Taste quality decoding parallels taste sensations,1,0,1,1,0,0.3743,0.4716,0.557,0.4064,0.0813,0.1915,0.2381,0.0899,0.0129,0.2903,,4.423,0
,89,Using Natural Language Processing to Automatically Detect Self-Admitted Technical Debt,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.0745,0,0,0.0337,0.0008,0,,4.4228,0.381
,35,A systematic review of machine learning techniques for software fault prediction,1,0,1,1,0,0.4847,0.5486,0.1707,0.451,0.3973,0.1064,0,0.198,0.0131,0.0323,,4.3698,0
,75,A procedure to detect problems of processes in software development projects using Bayesian networks,1,0,1,1,0,0.514,0.5564,0.167,0.5132,0.0948,0.2979,0,0.1131,0.1057,0,,4.3621,0
,112,An empirical framework for defect prediction using machine learning techniques with Android software,1,0,1,1,0.5,0.4847,0.5486,0.1707,0.451,0.0451,0,0,0.0493,0.0088,0,,4.2582,0
,65,Artificial immune multi-objective SAR image segmentation with fused complementary features,1,0.0001,1,1,0,0.4914,0.6037,0.2274,0.5018,0.1332,0,0,0.0312,0.243,0,,4.2318,0
,47,Automated API property inference techniques,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.2257,0,0,0.0718,0.0008,0,,4.2311,0
,54,A quantitative investigation of the acceptable risk levels of object-oriented metrics in open-source systems,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.1603,0,0,0.0843,0.0005,0,,4.1779,0
,55,Software defect prediction using relational association rule mining,1,0,1,1,0,0.4914,0.6037,0.2274,0.5018,0.1558,0,0,0.0924,0.0361,0,,4.1086,0
,69,A Cooperative Parallel Search-Based Software Engineering Approach for Code-Smells Detection,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.1084,0,0,0.045,0.0005,0,,4.0867,0
,107,Human-Computer Interaction,0,0,1,1,0,0.2194,0.3325,0.0745,0.3626,0.0519,0.0213,0.5714,0.4385,1,0,,4.0721,0
